Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
5_1,,,,,,,,,,,,,,,,,16.51204398,16.80643437,17.10082476,17.39521516,17.68960555,17.98399594,18.27838633,18.57277673,18.86716712,19.16155751,19.4559479,19.75033829,20.04472869,20.33911908,20.63350947,20.92789986,21.22229026,21.51668065,21.81107104,22.10546143,22.39985182,22.39985182,22.39985182,22.39985182,22.19665633,21.99346083,21.79026533,21.58706983,21.38387433,21.18067883,20.97748333,20.77428784
5_2,20.57109234,20.36789684,20.16470134,19.96150584,19.75831034,19.55511484,19.35191935,19.14872385,18.94552835,18.74233285,18.53913735,18.33594185,18.13274636,17.92955086,17.72635536,17.52315986,17.31996436,17.55957119,17.79917802,18.03878485,18.27839168,18.51799851,18.75760534,18.99721217,19.236819,19.47642582,19.71603265,19.95563948,20.19524631,20.43485314,20.67445997,20.9140668,21.15367363,21.39328046,21.63288729,21.87249412,22.11210095,22.11210095,22.11210095,22.11210095,21.90455369,21.69700643,21.48945917,21.28191192,21.07436466,20.8668174,20.65927014,20.45172289
5_3,20.24417563,20.03662837,19.82908112,19.62153386,19.4139866,19.20643934,18.99889209,18.79134483,18.58379757,18.37625031,18.16870306,17.9611558,17.75360854,17.54606128,17.33851403,17.13096677,16.92341951,17.1829961,17.44257269,17.70214928,17.96172587,18.22130246,18.48087904,18.74045563,19.00003222,19.25960881,19.5191854,19.77876199,20.03833858,20.29791517,20.55749176,20.81706834,21.07664493,21.33622152,21.59579811,21.8553747,22.11495129,22.11495129,22.11495129,22.11495129,21.90084753,21.68674378,21.47264002,21.25853627,21.04443251,20.83032876,20.616225,20.40212125
5_4,20.18801749,19.97391373,19.75980998,19.54570622,19.33160247,19.11749871,18.90339496,18.6892912,18.47518745,18.26108369,18.04697994,17.83287618,17.61877243,17.40466867,17.19056492,16.97646116,16.7623574,17.03339192,17.30442644,17.57546095,17.84649547,18.11752999,18.3885645,18.65959902,18.93063353,19.20166805,19.47270257,19.74373708,20.0147716,20.28580611,20.55684063,20.82787515,21.09890966,21.36994418,21.64097869,21.91201321,22.18304773,22.18304773,22.18304773,22.18304773,21.96757189,21.75209605,21.53662021,21.32114437,21.10566853,20.8901927,20.67471686,20.45924102
5_5,20.24376518,20.02828934,19.8128135,19.59733767,19.38186183,19.16638599,18.95091015,18.73543431,18.51995847,18.30448263,18.0890068,17.87353096,17.65805512,17.44257928,17.22710344,17.0116276,16.79615177,17.0599963,17.32384083,17.58768536,17.85152988,18.11537441,18.37921894,18.64306347,18.906908,19.17075253,19.43459706,19.69844159,19.96228612,20.22613065,20.48997518,20.75381971,21.01766424,21.28150877,21.5453533,21.80919783,22.07304236,22.07304236,22.07304236,22.07304236,21.89198404,21.71092572,21.5298674,21.34880907,21.16775075,20.98669243,20.80563411,20.62457579
5_6,20.44351747,20.26245915,20.08140082,19.9003425,19.71928418,19.53822586,19.35716754,19.17610922,18.99505089,18.81399257,18.63293425,18.45187593,18.27081761,18.08975929,17.90870097,17.72764264,17.54658432,17.81532387,18.08406341,18.35280296,18.62154251,18.89028205,19.1590216,19.42776114,19.69650069,19.96524023,20.23397978,20.50271933,20.77145887,21.04019842,21.30893796,21.57767751,21.84641706,22.1151566,22.38389615,22.65263569,22.92137524,22.92137524,22.92137524,22.92137524,22.69614304,22.47091084,22.24567864,22.02044644,21.79521423,21.56998203,21.34474983,21.11951763
5_7,20.89428543,20.66905323,20.44382103,20.21858883,19.99335663,19.76812443,19.54289222,19.31766002,19.09242782,18.86719562,18.64196342,18.41673122,18.19149902,17.96626682,17.74103462,17.51580242,17.29057021,17.55602296,17.82147571,18.08692845,18.3523812,18.61783394,18.88328669,19.14873944,19.41419218,19.67964493,19.94509767,20.21055042,20.47600316,20.74145591,21.00690866,21.2723614,21.53781415,21.80326689,22.06871964,22.33417239,22.59962513,22.59962513,22.59962513,22.59962513,22.38916091,22.17869668,21.96823246,21.75776823,21.547304,21.33683978,21.12637555,20.91591133
5_8,20.7054471,20.49498288,20.28451865,20.07405442,19.8635902,19.65312597,19.44266175,19.23219752,19.0217333,18.81126907,18.60080485,18.39034062,18.17987639,17.96941217,17.75894794,17.54848372,17.33801949,17.62702853,17.91603757,18.2050466,18.49405564,18.78306468,19.07207371,19.36108275,19.65009179,19.93910082,20.22810986,20.5171189,20.80612793,21.09513697,21.384146,21.67315504,21.96216408,22.25117311,22.54018215,22.82919119,23.11820022,23.11820022,23.11820022,23.11820022,22.89806265,22.67792508,22.45778751,22.23764994,22.01751236,21.79737479,21.57723722,21.35709965
5_9,21.13696208,20.91682451,20.69668693,20.47654936,20.25641179,20.03627422,19.81613665,19.59599907,19.3758615,19.15572393,18.93558636,18.71544879,18.49531121,18.27517364,18.05503607,17.8348985,17.61476093,17.85093399,18.08710704,18.3232801,18.55945316,18.79562622,19.03179928,19.26797234,19.5041454,19.74031845,19.97649151,20.21266457,20.44883763,20.68501069,20.92118375,21.1573568,21.39352986,21.62970292,21.86587598,22.10204904,22.3382221,22.3382221,22.3382221,22.3382221,22.13745652,21.93669093,21.73592535,21.53515977,21.33439419,21.1336286,20.93286302,20.73209744
5_10,20.53133186,20.33056627,20.12980069,19.92903511,19.72826953,19.52750394,19.32673836,19.12597278,18.9252072,18.72444161,18.52367603,18.32291045,18.12214487,17.92137928,17.7206137,17.51984812,17.31908254,17.61258531,17.90608809,18.19959087,18.49309365,18.78659643,19.0800992,19.37360198,19.66710476,19.96060754,20.25411032,20.5476131,20.84111587,21.13461865,21.42812143,21.72162421,22.01512699,22.30862976,22.60213254,22.89563532,23.1891381,23.1891381,23.1891381,23.1891381,22.95684774,22.72455738,22.49226702,22.25997666,22.0276863,21.79539594,21.56310558,21.33081523
