Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
5_1,18.61549233,18.44389684,18.27230134,18.10070584,17.92911034,17.75751484,17.58591934,17.41432385,17.24272835,17.07113285,16.89953735,16.72794185,16.55634635,16.38475086,16.21315536,16.04155986,15.06204398,15.31693437,15.57182476,15.82671516,16.08160555,16.33649594,16.59138633,16.84627672,17.10116712,17.35605751,17.6109479,17.86583829,18.12072868,18.37561908,18.63050947,18.88539986,19.14029025,19.39518064,19.65007104,19.90496143,20.15985182,20.15985182,20.15985182,20.15985182,19.98825632,19.81666082,19.64506532,19.47346983,19.30187433,19.13027883,18.95868333,18.78708783
5_2,18.61549233,18.44389684,18.27230134,18.10070584,17.92911034,17.75751484,17.58591934,17.41432385,17.24272835,17.07113285,16.89953735,16.72794185,16.55634635,16.38475086,16.21315536,16.04155986,15.86996436,16.07007119,16.27017802,16.47028485,16.67039168,16.87049851,17.07060534,17.27071217,17.470819,17.67092583,17.87103266,18.07113948,18.27124631,18.47135314,18.67145997,18.8715668,19.07167363,19.27178046,19.47188729,19.67199412,19.87210095,19.87210095,19.87210095,19.87210095,19.69615369,19.52020643,19.34425918,19.16831192,18.99236466,18.8164174,18.64047015,18.46452289
5_3,18.28857563,18.11262837,17.93668112,17.76073386,17.5847866,17.40883934,17.23289209,17.05694483,16.88099757,16.70505031,16.52910306,16.3531558,16.17720854,16.00126128,15.82531403,15.64936677,15.47341951,15.6934961,15.91357269,16.13364928,16.35372587,16.57380246,16.79387904,17.01395563,17.23403222,17.45410881,17.6741854,17.89426199,18.11433858,18.33441517,18.55449176,18.77456835,18.99464493,19.21472152,19.43479811,19.6548747,19.87495129,19.87495129,19.87495129,19.87495129,19.69244753,19.50994378,19.32744002,19.14493627,18.96243251,18.77992876,18.597425,18.41492125
5_4,18.23241749,18.04991373,17.86740998,17.68490622,17.50240247,17.31989871,17.13739496,16.9548912,16.77238744,16.58988369,16.40737993,16.22487618,16.04237242,15.85986867,15.67736491,15.49486116,15.3123574,15.54389192,15.77542643,16.00696095,16.23849547,16.47002998,16.7015645,16.93309902,17.16463353,17.39616805,17.62770257,17.85923708,18.0907716,18.32230611,18.55384063,18.78537515,19.01690966,19.24844418,19.4799787,19.71151321,19.94304773,19.94304773,19.94304773,19.94304773,19.75917189,19.57529605,19.39142021,19.20754438,19.02366854,18.8397927,18.65591686,18.47204102
5_5,18.28816518,18.10428935,17.92041351,17.73653767,17.55266183,17.36878599,17.18491015,17.00103432,16.81715848,16.63328264,16.4494068,16.26553096,16.08165512,15.89777929,15.71390345,15.53002761,15.34615177,15.5704963,15.79484083,16.01918536,16.24352989,16.46787442,16.69221895,16.91656348,17.14090801,17.36525254,17.58959707,17.81394159,18.03828612,18.26263065,18.48697518,18.71131971,18.93566424,19.16000877,19.3843533,19.60869783,19.83304236,19.83304236,19.83304236,19.83304236,19.68358404,19.53412572,19.3846674,19.23520907,19.08575075,18.93629243,18.78683411,18.63737579
5_6,18.48791747,18.33845914,18.18900082,18.0395425,17.89008418,17.74062586,17.59116754,17.44170921,17.29225089,17.14279257,16.99333425,16.84387593,16.69441761,16.54495928,16.39550096,16.24604264,16.09658432,16.32582387,16.55506341,16.78430296,17.0135425,17.24278205,17.4720216,17.70126114,17.93050069,18.15974023,18.38897978,18.61821933,18.84745887,19.07669842,19.30593796,19.53517751,19.76441706,19.9936566,20.22289615,20.45213569,20.68137524,20.68137524,20.68137524,20.68137524,20.48774304,20.29411084,20.10047864,19.90684644,19.71321423,19.51958203,19.32594983,19.13231763
5_7,18.93868543,18.74505323,18.55142103,18.35778883,18.16415662,17.97052442,17.77689222,17.58326002,17.38962782,17.19599562,17.00236342,16.80873122,16.61509901,16.42146681,16.22783461,16.03420241,15.84057021,16.06652296,16.2924757,16.51842845,16.74438119,16.97033394,17.19628669,17.42223943,17.64819218,17.87414492,18.10009767,18.32605042,18.55200316,18.77795591,19.00390865,19.2298614,19.45581415,19.68176689,19.90771964,20.13367238,20.35962513,20.35962513,20.35962513,20.35962513,20.1807609,20.00189668,19.82303245,19.64416823,19.465304,19.28643978,19.10757555,18.92871133
5_8,18.7498471,18.57098287,18.39211865,18.21325442,18.0343902,17.85552597,17.67666175,17.49779752,17.31893329,17.14006907,16.96120484,16.78234062,16.60347639,16.42461217,16.24574794,16.06688372,15.88801949,16.13752853,16.38703756,16.6365466,16.88605564,17.13556467,17.38507371,17.63458275,17.88409178,18.13360082,18.38310986,18.63261889,18.88212793,19.13163696,19.381146,19.63065504,19.88016407,20.12967311,20.37918215,20.62869118,20.87820022,20.87820022,20.87820022,20.87820022,20.68966265,20.50112508,20.31258751,20.12404993,19.93551236,19.74697479,19.55843722,19.36989965
5_9,19.18136208,18.9928245,18.80428693,18.61574936,18.42721179,18.23867422,18.05013665,17.86159907,17.6730615,17.48452393,17.29598636,17.10744879,16.91891122,16.73037364,16.54183607,16.3532985,16.16476093,16.36143399,16.55810705,16.75478011,16.95145316,17.14812622,17.34479928,17.54147234,17.7381454,17.93481846,18.13149152,18.32816457,18.52483763,18.72151069,18.91818375,19.11485681,19.31152987,19.50820292,19.70487598,19.90154904,20.0982221,20.0982221,20.0982221,20.0982221,19.92905652,19.75989094,19.59072535,19.42155977,19.25239419,19.08322861,18.91406302,18.74489744
5_10,18.57573186,18.40656628,18.23740069,18.06823511,17.89906953,17.72990395,17.56073836,17.39157278,17.2224072,17.05324162,16.88407603,16.71491045,16.54574487,16.37657929,16.2074137,16.03824812,15.86908254,16.12308532,16.3770881,16.63109087,16.88509365,17.13909643,17.39309921,17.64710199,17.90110476,18.15510754,18.40911032,18.6631131,18.91711588,19.17111865,19.42512143,19.67912421,19.93312699,20.18712977,20.44113254,20.69513532,20.9491381,20.9491381,20.9491381,20.9491381,20.74844774,20.54775738,20.34706702,20.14637666,19.9456863,19.74499594,19.54430559,19.34361523
5_11,19.14292487,18.94223451,18.74154415,18.54085379,18.34016343,18.13947307,17.93878271,17.73809235,17.53740199,17.33671163,17.13602128,16.93533092,16.73464056,16.5339502,16.33325984,16.13256948,15.93187912,16.16402067,16.39616222,16.62830377,16.86044532,17.09258687,17.32472842,17.55686997,17.78901152,18.02115307,18.25329462,18.48543617,18.71757772,18.94971927,19.18186082,19.41400237,19.64614392,19.87828547,20.11042702,20.34256857,20.57471012,20.57471012,20.57471012,20.57471012,20.37746582,20.18022153,19.98297723,19.78573293,19.58848864,19.39124434,19.19400005,18.99675575
5_12,18.79951145,18.60226716,18.40502286,18.20777856,18.01053427,17.81328997,17.61604567,17.41880138,17.22155708,17.02431278,16.82706849,16.62982419,16.4325799,16.2353356,16.0380913,15.84084701,15.64360271,15.90257755,16.1615524,16.42052724,16.67950208,16.93847692,17.19745177,17.45642661,17.71540145,17.97437629,18.23335114,18.49232598,18.75130082,19.01027566,19.26925051,19.52822535,19.78720019,20.04617503,20.30514988,20.56412472,20.82309956,20.82309956,20.82309956,20.82309956,20.630936,20.43877244,20.24660887,20.05444531,19.86228175,19.67011819,19.47795462,19.28579106
5_13,19.0936275,18.90146394,18.70930037,18.51713681,18.32497325,18.13280969,17.94064612,17.74848256,17.556319,17.36415544,17.17199187,16.97982831,16.78766475,16.59550119,16.40333762,16.21117406,16.0190105,16.26241402,16.50581753,16.74922105,16.99262456,17.23602808,17.4794316,17.72283511,17.96623863,18.20964214,18.45304566,18.69644918,18.93985269,19.18325621,19.42665972,19.67006324,19.91346676,20.15687027,20.40027379,20.6436773,20.88708082,20.88708082,20.88708082,20.88708082,20.70047471,20.5138686,20.32726249,20.14065638,19.95405027,19.76744416,19.58083806,19.39423195
5_14,19.20762584,19.02101973,18.83441362,18.64780751,18.4612014,18.27459529,18.08798918,17.90138307,17.71477696,17.52817085,17.34156475,17.15495864,16.96835253,16.78174642,16.59514031,16.4085342,16.22192809,16.4607911,16.69965411,16.93851712,17.17738013,17.41624315,17.65510616,17.89396917,18.13283218,18.37169519,18.6105582,18.84942121,19.08828422,19.32714723,19.56601024,19.80487326,20.04373627,20.28259928,20.52146229,20.7603253,20.99918831,20.99918831,20.99918831,20.99918831,20.80646252,20.61373673,20.42101093,20.22828514,20.03555935,19.84283356,19.65010776,19.45738197
5_15,19.26465618,19.07193039,18.87920459,18.6864788,18.49375301,18.30102722,18.10830142,17.91557563,17.72284984,17.53012405,17.33739825,17.14467246,16.95194667,16.75922088,16.56649508,16.37376929,16.1810435,16.43981214,16.69858078,16.95734941,17.21611805,17.47488669,17.73365533,17.99242397,18.2511926,18.50996124,18.76872988,19.02749852,19.28626716,19.54503579,19.80380443,20.06257307,20.32134171,20.58011035,20.83887898,21.09764762,21.35641626,21.35641626,21.35641626,21.35641626,21.14819922,20.93998218,20.73176513,20.52354809,20.31533105,20.10711401,19.89889697,19.69067992
5_16,19.48246288,19.27424584,19.0660288,18.85781176,18.64959471,18.44137767,18.23316063,18.02494359,17.81672655,17.6085095,17.40029246,17.19207542,16.98385838,16.77564134,16.56742429,16.35920725,16.15099021,16.40883249,16.66667477,16.92451704,17.18235932,17.4402016,17.69804388,17.95588615,18.21372843,18.47157071,18.72941299,18.98725526,19.24509754,19.50293982,19.7607821,20.01862437,20.27646665,20.53430893,20.79215121,21.04999348,21.30783576,21.30783576,21.30783576,21.30783576,21.12034391,20.93285205,20.7453602,20.55786835,20.37037649,20.18288464,19.99539279,19.80790093
5_17,19.62040908,19.43291723,19.24542537,19.05793352,18.87044167,18.68294982,18.49545796,18.30796611,18.12047426,17.9329824,17.74549055,17.5579987,17.37050684,17.18301499,16.99552314,16.80803128,16.62053943,16.84482384,17.06910824,17.29339265,17.51767705,17.74196146,17.96624586,18.19053027,18.41481467,18.63909908,18.86338349,19.08766789,19.3119523,19.5362367,19.76052111,19.98480551,20.20908992,20.43337432,20.65765873,20.88194313,21.10622754,21.10622754,21.10622754,21.10622754,20.90654976,20.70687199,20.50719421,20.30751644,20.10783866,19.90816089,19.70848311,19.50880534
5_18,19.30912756,19.10944979,18.90977201,18.71009424,18.51041646,18.31073869,18.11106091,17.91138314,17.71170536,17.51202759,17.31234981,17.11267204,16.91299426,16.71331649,16.51363871,16.31396094,16.11428316,16.39263097,16.67097878,16.9493266,17.22767441,17.50602222,17.78437003,18.06271784,18.34106566,18.61941347,18.89776128,19.17610909,19.4544569,19.73280472,20.01115253,20.28950034,20.56784815,20.84619596,21.12454378,21.40289159,21.6812394,21.6812394,21.6812394,21.6812394,21.46779198,21.25434456,21.04089714,20.82744972,20.61400231,20.40055489,20.18710747,19.97366005
5_19,19.76021263,19.54676521,19.33331779,19.11987037,18.90642296,18.69297554,18.47952812,18.2660807,18.05263328,17.83918586,17.62573844,17.41229102,17.19884361,16.98539619,16.77194877,16.55850135,16.34505393,16.57842736,16.81180079,17.04517423,17.27854766,17.51192109,17.74529452,17.97866795,18.21204139,18.44541482,18.67878825,18.91216168,19.14553511,19.37890855,19.61228198,19.84565541,20.07902884,20.31240227,20.54577571,20.77914914,21.01252257,21.01252257,21.01252257,21.01252257,20.8229236,20.63332463,20.44372567,20.2541267,20.06452773,19.87492876,19.68532979,19.49573083
5_20,19.30613186,19.11653289,18.92693392,18.73733495,18.54773599,18.35813702,18.16853805,17.97893908,17.78934011,17.59974115,17.41014218,17.22054321,17.03094424,16.84134527,16.65174631,16.46214734,16.27254837,16.53017643,16.78780448,17.04543254,17.30306059,17.56068865,17.81831671,18.07594476,18.33357282,18.59120087,18.84882893,19.10645699,19.36408504,19.6217131,19.87934115,20.13696921,20.39459727,20.65222532,20.90985338,21.16748143,21.42510949,21.42510949,21.42510949,21.42510949,21.22014077,21.01517205,20.81020333,20.6052346,20.40026588,20.19529716,19.99032844,19.78535972
5_21,19.580391,19.37542227,19.17045355,18.96548483,18.76051611,18.55554739,18.35057867,18.14560994,17.94064122,17.7356725,17.53070378,17.32573506,17.12076634,16.91579761,16.71082889,16.50586017,16.30089145,16.56431461,16.82773776,17.09116092,17.35458408,17.61800724,17.88143039,18.14485355,18.40827671,18.67169986,18.93512302,19.19854618,19.46196933,19.72539249,19.98881565,20.25223881,20.51566196,20.77908512,21.04250828,21.30593143,21.56935459,21.56935459,21.56935459,21.56935459,21.3735376,21.17772061,20.98190363,20.78608664,20.59026965,20.39445266,20.19863567,20.00281869
5_22,19.8070017,19.61118471,19.41536772,19.21955073,19.02373375,18.82791676,18.63209977,18.43628278,18.24046579,18.04464881,17.84883182,17.65301483,17.45719784,17.26138085,17.06556387,16.86974688,16.67392989,16.90346293,17.13299597,17.36252902,17.59206206,17.8215951,18.05112814,18.28066118,18.51019423,18.73972727,18.96926031,19.19879335,19.42832639,19.65785944,19.88739248,20.11692552,20.34645856,20.5759916,20.80552465,21.03505769,21.26459073,21.26459073,21.26459073,21.26459073,21.08703445,20.90947818,20.7319219,20.55436563,20.37680935,20.19925308,20.0216968,19.84414053
5_23,19.66658425,19.48902798,19.3114717,19.13391543,18.95635915,18.77880288,18.6012466,18.42369033,18.24613405,18.06857778,17.8910215,17.71346523,17.53590895,17.35835268,17.1807964,17.00324013,16.82568385,17.07476578,17.32384771,17.57292964,17.82201157,18.0710935,18.32017544,18.56925737,18.8183393,19.06742123,19.31650316,19.56558509,19.81466702,20.06374895,20.31283088,20.56191281,20.81099475,21.06007668,21.30915861,21.55824054,21.80732247,21.80732247,21.80732247,21.80732247,21.59288741,21.37845235,21.16401728,20.94958222,20.73514716,20.5207121,20.30627704,20.09184197
5_24,19.87740691,19.66297185,19.44853679,19.23410173,19.01966666,18.8052316,18.59079654,18.37636148,18.16192642,17.94749135,17.73305629,17.51862123,17.30418617,17.08975111,16.87531604,16.66088098,16.44644592,16.72080058,16.99515524,17.2695099,17.54386457,17.81821923,18.09257389,18.36692855,18.64128321,18.91563787,19.18999253,19.4643472,19.73870186,20.01305652,20.28741118,20.56176584,20.8361205,21.11047517,21.38482983,21.65918449,21.93353915,21.93353915,21.93353915,21.93353915,21.72753255,21.52152595,21.31551934,21.10951274,20.90350614,20.69749954,20.49149294,20.28548633
